geo_name
geo_name,hearing_disability,vision_disability,cognitive_disability,ambulatory_disability,self_care_disability,independent_living_disability
"Crenshaw County, Alabama",741,525,1037,1701,565,954
"Denton County, Texas",16545,9807,23123,28354,11400,19590
"Fayette County, Indiana",1423,1032,1448,2432,746,1384
"Wilson County, Texas",1700,796,1904,2961,1140,1943
"Briscoe County, Texas",82,28,58,108,33,40
"Marinette County, Wisconsin",2163,1104,2181,3552,1137,2065
"Marathon County, Wisconsin",4962,2253,5304,6589,2840,5170
"Lake of the Woods County, Minnesota",183,105,131,273,5,5
"Elkhart County, Indiana",7660,4914,10983,12739,5182,9119
"Caldwell County, North Carolina",4315,3075,5623,9350,3004,5734
